623 ATSC3Z 81
624 ATSC4Z 132
627 ATSC5Z 1
628 ATSC6Z 3
629 ATSC7Z 11
630 ATSC8Z 29
631 ATSC0m 81
632 ATSC1m 132
635 ATSC2m 1
636 ATSC3m 3
637 ATSC4m 11
638 ATSC5m 29
639 ATSC6m 81
640 ATSC7m 132
827 ATSC8m 1
828 ATSC0v 6
829 ATSC1v 15
830 ATSC2v 35
831 ATSC3v 46
832 ATSC4v 77
843 ATSC5v 1
844 ATSC6v 6
845 ATSC7v 15
846 ATSC8v 35
847 ATSC0se 46
848 ATSC1se 77
1300 ATSC2se 1
1301 ATSC3se 6
1359 ATSC4se 285
1360 ATSC5se 166
1361 ATSC6se 200
1362 ATSC7se 409
1363 ATSC8se 36
1364 ATSC0pe 81
1365 ATSC1pe 399
1366 ATSC2pe 124
1367 ATSC3pe 401
1368 ATSC4pe 471
1369 ATSC5pe 269
1370 ATSC6pe 316
1371 ATSC7pe 429
1372 ATSC8pe 463
1373 ATSC0are 462
1374 ATSC1are 465
1375 ATSC2are 450
1376 ATSC3are 454
1377 ATSC4are 464
1582 ATSC5are 11
